epoch,train_loss,train_top1_acc,train_time,test_loss,test_top1_acc,test_time
0,4.61673253829956,1.056,0.07273616754185513,4.596507020568848,1.7299999,0.03343759307378455
1,4.477000440368652,2.452,0.07320705521137208,4.281193328857422,4.14,0.022758870185176028
2,4.067656773605346,6.786,0.06396091807528835,3.8638086223602297,9.9,0.022701230230210704
3,3.7531070067596435,11.426,0.06437072973422077,3.6102576553344727,13.92,0.021865138524695286
4,3.561269905319214,14.888,0.06413532461961517,3.4928245025634768,16.19,0.022548678555066072
5,3.339249927215576,18.754,0.06415782316261545,3.3333774757385255,19.13,0.022619760489162012
6,3.1399989442443847,22.414,0.06486913798105381,3.1763354778289794,22.43,0.022606529767000224
7,2.9854826150512697,25.279999,0.06605584664113076,3.297656184387207,21.99,0.02218054517914977
8,2.833308921661377,28.113998,0.06356626764282851,2.8546918983459473,28.0,0.02273734611800954
9,2.716941999130249,30.397999,0.06394329888131613,2.943232682800293,26.47,0.022485379931292956
10,2.595051720428467,33.084,0.06459640054141774,2.809782975387573,29.199999,0.02182846431490741
11,2.485667651748657,35.239998,0.06464769712189579,2.700752496337891,31.689999,0.022491376611250866
12,2.37477062789917,37.517998,0.06376156111812348,2.7438431091308595,31.21,0.022137602673301213
13,2.28655018447876,39.579998,0.06375340915397,2.700127032089233,31.099998,0.02181391776362552
14,2.212102563018799,41.078,0.06479086961282794,2.5758606575012206,34.19,0.022367287285720246
15,2.139210370864868,42.704,0.0653590003547766,2.668146179962158,35.03,0.02223124081575418
16,2.0844839367675783,43.954,0.06601939237940951,2.4774668424606325,36.079998,0.02271956733510464
17,2.030537491912842,44.983997,0.06553097698084838,3.823758080291748,21.039999,0.022437620766555207
18,1.9743870639801024,46.292,0.06293574684416242,2.7813796474456787,34.8,0.022680213179769395
19,1.931048218612671,47.298,0.06498066421664889,2.720456449508667,35.26,0.02286310739155057
20,1.8739458849716186,48.604,0.06402330874177196,2.728747505187988,35.05,0.02289844162856476
21,1.8407617488861083,49.497997,0.06430385911556157,2.5092739253997802,38.36,0.022392179392561128
22,1.7972772095108032,50.461998,0.06496188829622,2.253620343017578,41.98,0.021955315070816234
23,1.7598254209136963,51.171997,0.06426507310794137,2.3942660278320314,39.51,0.02212712130969084
24,1.7217332991027832,51.974,0.06426198037384111,2.4380427671432496,38.64,0.02290013772022875
25,1.6851591234207153,52.876,0.0638768636357144,2.594226140975952,37.829998,0.022450009478798397
26,1.659779100151062,53.71,0.06573652428434328,2.785540236091614,35.11,0.0227810129334655
27,1.6318572130584716,54.449997,0.06473633090553381,3.370891786956787,30.13,0.022750516481037382
28,1.5992162683868407,55.067997,0.06433021442969437,2.5394654285430907,38.32,0.022659057303320004
29,1.5782089088439941,55.702,0.06425838580216899,2.2332434747695924,42.719997,0.022316262691835814
30,1.5514851921844481,56.146,0.06625461151532809,2.285766577911377,42.329998,0.022493380534497998
31,1.5358940859603882,56.427998,0.06480980834082874,2.467186192893982,39.579998,0.02273668820344949
32,1.5090782085800172,57.281998,0.06427344031955885,2.369785260772705,41.309998,0.02216482162475586
33,1.4863542236328124,57.516,0.06386530917623769,3.073423864746094,30.88,0.022396181203141997
34,1.468214906463623,58.087997,0.06529743653124251,2.108241714859009,45.739998,0.02254650562624388
35,1.4446054330062865,58.826,0.06603613229054014,2.2014088314056397,45.489998,0.022560825830773464
36,1.425824602279663,59.441998,0.06515832081475222,2.7010624240875245,38.45,0.021797137924387484
37,1.4029529699325562,59.769997,0.0642808355638743,2.4768203113555907,40.379997,0.022193386584897584
38,1.3835588824081422,60.255997,0.06573957738364139,2.484582099342346,40.26,0.022641535046734388
39,1.3685692775344849,60.84,0.06606075769800054,4.583276923751831,22.68,0.022473501253731643
40,1.356865835762024,60.702,0.06633696958536991,2.731273879623413,38.54,0.021957222419449047
41,1.340829775161743,61.28,0.06453455744497001,2.5915916994094848,39.61,0.022697394407248196
42,1.3135372410202026,61.887997,0.0657366779454224,2.3755130672454836,42.37,0.022782328762585603
43,1.3071235090637208,61.85,0.06420109704937167,3.1167716522216797,33.59,0.022458541242382193
44,1.2872777262496948,62.657997,0.06351640340312363,2.1915772356033325,44.95,0.022550262982332255
45,1.265842307510376,63.109997,0.06465472284790195,2.969715591430664,36.67,0.022396790830394888
46,1.2642519269180297,63.286,0.06563703117468168,3.7030523914337157,27.63,0.022162328792523733
47,1.2461934062194824,63.747997,0.0638879558924214,2.218350148391724,44.379997,0.022366348701187328
48,1.233137763671875,64.175995,0.06533625912483391,2.2255118577957154,44.73,0.022433803051332885
49,1.2203359495925903,64.156,0.06438446593711443,2.097301523399353,47.44,0.022603572169436686
50,1.211356957206726,64.6,0.06491739182825894,3.561688782501221,29.96,0.022396639932560015
51,1.1953495424652099,64.757996,0.06487516612957811,2.60603417930603,38.73,0.022194563588009603
52,1.18348617061615,64.97,0.064490142685678,3.9679503047943117,24.699999,0.022372505332850203
53,1.181123570022583,65.172,0.06451535346867789,6.262663259124756,16.02,0.02223634418052963
54,1.163263237991333,65.512,0.06444493584010912,2.4733709060668945,42.26,0.022789973246900342
55,1.1581867041778564,65.868,0.06445099874530606,2.0360350725173952,49.16,0.02221855332579794
56,1.1379811642837525,66.284,0.0656786964982367,2.743692646408081,39.0,0.022149846523622924
57,1.12929785030365,66.64,0.0648006630675567,2.8429380168914795,39.85,0.022452393664589412
58,1.1238998403167724,66.858,0.0642993919684759,2.682548051071167,40.289997,0.02197431612618362
59,1.112277209300995,66.95,0.06361307207580723,3.6801985473632812,31.359999,0.022259153897249247
60,1.096462680053711,67.392,0.06373284417954857,4.688368721389771,24.119999,0.022728672510460964
61,1.086002240371704,67.372,0.06295274895475343,3.618289200210571,31.109999,0.02219806441777869
62,1.0778139743041992,67.696,0.06424504716682922,3.3985646049499514,34.7,0.022436135931860043
