epoch,train_loss,train_top1_acc,train_time,test_loss,test_top1_acc,test_time
0,4.092807112884522,7.2739997,0.04845398588253714,3.7193666275024415,12.17,0.03220893159697327
1,3.4786610945892336,15.969999,0.02997696796036742,3.48211063079834,17.539999,0.01277067993260637
2,3.091756913986206,22.872,0.030106619495869902,2.9684068035125732,25.74,0.012542121018035502
3,2.7512432263946534,29.458,0.030013992963239665,2.6798079696655273,31.189999,0.012855031822301164
4,2.4929207272338867,34.618,0.029655198611871665,2.632252746963501,33.969997,0.01273439503923247
5,2.3202155516815184,38.315998,0.030156455686330186,2.355317266845703,38.59,0.012447336052037492
6,2.1636149658203125,41.803997,0.030024940705360353,2.2022614528656006,41.27,0.01297180863875377
7,2.0290424067687987,44.677998,0.02987196683273901,2.2130693450927734,42.34,0.012982775893392442
8,1.9307748999786376,46.884,0.029895973327519643,2.0810801918029784,44.18,0.012620847436446177
9,1.8540844818496705,49.003998,0.030406681777876053,2.02374756526947,45.92,0.013084921655775626
10,1.7794337390899657,50.592,0.029796455217444378,1.9700823989868164,47.96,0.012236290340182147
11,1.7185491217422486,52.17,0.02969000223652481,1.884690606880188,49.59,0.012715068044541757
12,1.6686502179336549,53.26,0.02977730063221339,1.8244263507843017,50.67,0.013762627975850166
13,1.6136590455627442,54.711998,0.029932328807118602,1.8696504518508912,49.789997,0.011854579177083848
14,1.5751736624526977,55.34,0.029686420469942604,1.7848962755203248,51.129997,0.013679377640349955
15,1.5373019899749756,56.416,0.030084500837204098,1.832122292137146,50.59,0.012874207919157004
16,1.4895562921905519,57.795998,0.029857174514809532,1.8048669261932373,51.53,0.013119607032099856
17,1.4657846822357177,58.337997,0.029972431299936438,1.7349379091262818,52.94,0.012744758702531646
18,1.4236540259170531,59.244,0.030139293816998182,1.7497890893936157,52.94,0.012668706193754944
19,1.3963472523498535,60.09,0.03033211530017121,1.7283829908370971,54.01,0.013023346285276774
20,1.3785003094863892,60.48,0.02996169331738406,1.7031521484375,54.079998,0.012364634984656226
21,1.344677476425171,61.211998,0.02996176953815743,1.6767492170333862,54.59,0.012648208231865606
22,1.3210353852081298,62.008,0.02993236356379126,1.6982367033004762,54.42,0.012704662129848818
23,1.2975478785324097,62.685997,0.029937051446236613,1.6793533622741699,55.21,0.011947393417358398
24,1.2817973097991944,62.662,0.030163717391850697,1.7547342006683349,53.57,0.012691669826266131
25,1.2492610109710693,63.663998,0.029657348647446888,1.6317374145507813,55.93,0.011999528619307505
26,1.2371585105895997,63.926,0.029797152789962263,1.701532025527954,54.43,0.013071778454358064
27,1.2152955042266846,64.355995,0.029808834080805865,1.6130347175598145,56.84,0.012369173991529248
28,1.20559276512146,64.692,0.02972756932153726,1.62805110912323,56.51,0.012640886668917498
29,1.182789182624817,65.154,0.02983678881164707,1.658575302886963,56.46,0.0122913740858247
30,1.1686816037750245,65.764,0.030293028677820855,1.6860199071884154,54.91,0.013299573825884469
31,1.153210781478882,66.175995,0.030578305349325586,1.7516422679901122,54.46,0.013059951082060609
32,1.1352327950286865,66.724,0.030100888913244847,1.6919245655059814,55.52,0.012417941153803957
33,1.1189165994262695,66.946,0.030075681788842085,1.6725680828094482,56.67,0.012930701050577285
34,1.1117188722229003,66.948,0.030177207249204824,1.667929249572754,56.66,0.012688645833655249
35,1.0971519174575806,67.299995,0.03020986266758131,1.7978673582077027,54.329998,0.012568633767622935
36,1.080822571144104,68.187996,0.029908768051420637,1.6726687076568603,56.219997,0.012854349764087532
37,1.0717877767562867,68.22,0.03015863194185145,1.6195414138793944,56.879997,0.012430918367603157
38,1.0499884088516236,68.918,0.0300041336537627,1.6405360172271728,57.039997,0.012761562685423259
39,1.0388291759490966,69.187996,0.029958496923032013,1.6058290115356446,57.609997,0.012702283979971198
40,1.0257781309509277,69.451996,0.030371095213438847,1.7006705837249756,56.449997,0.013129614576508727
41,1.0223215474700929,69.439995,0.03011306594399845,1.5805659868240356,57.809998,0.01286683505094504
42,1.0064274490737914,69.918,0.029776042074803503,1.6073263956069945,58.19,0.012819211694258677
43,0.9965184191131592,70.131996,0.030192169082134276,1.6079021085739136,58.399998,0.012802151185047777
44,0.9839392580032349,70.394,0.030392918745270166,1.609436280632019,57.67,0.012646566463422172
45,0.9781054606246948,70.58,0.029949932147169966,1.665987106323242,57.51,0.012970556186724313
46,0.9598741228485107,71.063995,0.029953591963824105,1.6065696435928345,58.07,0.012165993074827556
47,0.953036411857605,71.245995,0.02995679262653946,1.7046362609863281,56.18,0.01262603530400916
48,0.9555411517715454,71.154,0.030044147730483424,1.6090813039779663,58.26,0.012645519232448143
49,0.9428157465744018,71.493996,0.029891180565290134,1.6313509302139282,58.67,0.012730160845985895
