epoch,train_loss,train_top1_acc,train_time,test_loss,test_top1_acc,test_time
0,4.293282649688721,4.244,0.07592101962974919,4.956738871002197,3.84,0.03787306290638598
1,3.650681767730713,12.957999,0.06217112199729666,4.184067366027832,9.87,0.023148210742805576
2,3.2869102040100096,19.491999,0.05998739988907524,3.423043970489502,18.4,0.02280770977841148
3,3.0642884799194334,23.866,0.05897597888546527,4.315506272888183,12.2,0.022858263571051102
4,2.890647601852417,27.057999,0.06083659137911199,4.174774764633178,14.009999,0.022971971125542362
5,2.77129326751709,29.359999,0.060978300431195426,4.649668852996826,11.9,0.021409529673902295
6,2.6716733561706545,31.345999,0.06039237671191125,4.392904849243164,12.74,0.022718480870693544
7,2.6024292027282714,32.76,0.060643580258654815,5.973097978973389,7.89,0.02278313757498053
8,2.5374006314086914,34.003998,0.060512027472181394,3.6889298431396482,15.549999,0.022950637189647818
9,2.4826505828857424,35.142,0.06031735290956619,7.821421035766601,4.04,0.022610302212872083
10,2.44393172203064,36.166,0.061603972978908995,8.36835887145996,6.73,0.023187739939629276
11,2.4135575341033935,36.969997,0.06096047330695345,6.06148722000122,7.46,0.022959552233732198
12,2.382630628051758,37.722,0.05963182876177151,6.3861244064331055,7.7799997,0.022583074207547345
13,2.348346566543579,37.975998,0.06147894530040224,4.830568859863281,11.75,0.022266508657721024
14,2.332709319229126,38.621998,0.06239574400665205,9.38039321899414,4.97,0.023021426381944102
15,2.3118240572357176,38.896,0.06142172910978117,4.1729517059326175,15.629999,0.022031427938726884
16,2.301850573387146,39.284,0.060676921054225445,3.901493854522705,19.449999,0.023170803166642974
17,2.28246750289917,39.626,0.0597286663396889,6.769641515350342,5.4,0.022587788255908823
18,2.2665281004333497,40.143997,0.06100966070619081,6.174415567016601,7.29,0.021826732007763052
19,2.2371922521209715,40.662,0.060442331806777994,5.036365452575684,8.28,0.024006728884540026
20,2.2154856007385253,41.142,0.060502154747848313,8.130828955841064,3.59,0.022551008417636534
21,2.201983906402588,41.406,0.061143288526998456,6.186585466766357,9.15,0.022271292119086544
22,2.1891015352630614,41.612,0.061074499583915066,5.160819504547119,10.07,0.02264902863321425
23,2.1621257459259033,42.446,0.06059176964528116,18.371496029663085,2.6,0.02236558817609956
24,2.1592205071258546,42.421997,0.06078178193563086,3.8244611640930177,22.519999,0.02300904068765761
25,2.1473023748016358,42.596,0.060677957656743275,5.087675484466553,10.679999,0.022015040433859524
26,2.1348429062652587,42.806,0.06100502526363753,13.217336451721192,3.4299998,0.021938969817342637
27,2.1301976906585693,43.082,0.06080793785622053,11.814734242248536,5.46,0.02221333829662468
28,2.1163817676544188,43.384,0.05968895226793216,4.979295816802979,11.36,0.023170042641555207
29,2.100773670578003,43.789997,0.05992954222442549,4.568886368560791,10.969999,0.022589752945718886
30,2.1017466618347167,43.676,0.06358852654771732,12.701186152648926,3.1799998,0.02278551874281485
31,2.0916263235473633,43.857998,0.06088715502063332,5.754788656616211,9.94,0.022899796691121934
32,2.0804371185684203,43.932,0.060814559307244734,6.281241910552978,9.76,0.022515788862976848
33,2.078766839828491,44.156,0.06112649129784625,8.773291168212891,3.6399999,0.022870619085770618
34,2.059665525474548,44.725998,0.061196882706468975,7.7256520477294925,8.34,0.02272364157664625
35,2.0510536502838135,44.98,0.061352809676733774,7.5976794189453125,4.43,0.02202056027665923
36,2.052338983154297,44.876,0.06098545603739941,14.933735546875,1.8599999,0.022357086592082735
37,2.051286089630127,45.106,0.06213361893773384,10.372291845703124,5.94,0.023170932938780964
38,2.045415598220825,44.766,0.06316603541069324,7.611456251525879,6.21,0.022753117959710616
39,2.036803362083435,44.974,0.06111311668630146,15.657292631530762,3.3,0.02235077302667159
40,2.0371380139160156,45.41,0.06236439897581134,6.450921250915528,7.1899996,0.02265700811072241
41,2.0373059365844726,44.94,0.061120060093872386,12.21998134765625,4.48,0.022403560107267354
42,2.022806205596924,45.232,0.06186800905505715,4.725651523590088,13.98,0.02370443223397943
43,2.007045182800293,46.016,0.06161510730948289,10.500947720336914,5.5899997,0.023404513733296453
44,2.0115993556976317,45.94,0.062087549882776594,6.04961068725586,9.73,0.022720149800747255
45,2.0035712145233155,45.958,0.06173703859529227,9.529728341674804,4.35,0.023134014274500594
46,2.0015299180603026,45.666,0.061986965291640335,14.327861114501953,2.6599998,0.022655200354660614
47,2.005732634735107,45.808,0.06145280706303199,13.220510171508788,3.32,0.02231911767887164
48,1.9832401676940918,46.483997,0.06219005767646653,8.446006331634521,4.46,0.022610860534861117
49,2.003135992050171,45.823997,0.0616820437828903,6.889297415161133,5.18,0.022413320179227033
50,1.9912572760009766,46.101997,0.060842517086916875,6.819304523468017,8.53,0.022766469400140304
51,1.9786567078399657,46.662,0.0603122461177504,4.843180760192871,10.54,0.02217569532273691
52,1.977179287261963,46.452,0.061748107071117976,7.735426794433594,6.52,0.02290671988378597
53,1.9845546145248414,46.236,0.06276614830621978,6.287976174926758,10.17,0.02305153351795824
54,1.9731056011199952,46.626,0.061023254223796716,4.679455297088623,14.15,0.022762793528882764
55,1.9858447763824463,46.357998,0.06067249720053904,8.936382493591308,6.41,0.022279929511154754
56,1.9769987406158447,46.61,0.06242130357591088,12.290949369812012,2.58,0.02255703225920472
57,1.9830082117462158,46.522,0.06161663721284598,4.8455865234375,11.429999,0.022833631008486205
58,1.9739260549926758,46.831997,0.06069800128107485,4.92029651184082,10.84,0.02323825751678853
59,1.958844510192871,47.022,0.06183968419614046,6.611175048065186,6.9199996,0.022381018988693817
60,1.964559750099182,46.949997,0.060676642391078,6.330409951782227,9.07,0.021261145796956895
61,1.9619771280288696,47.124,0.060429170613398635,4.56056566696167,15.839999,0.02241609669938872
62,1.9372399470520019,47.412,0.06098222793520564,8.994725564575194,4.95,0.022808228866963445
63,1.9413690574645996,47.398,0.06127246993277079,6.8462345474243165,8.71,0.02283985101723973
64,1.9366189915466308,47.468,0.06121940320105199,5.210532130813599,9.19,0.022669692582721952
65,1.94100934135437,47.219997,0.0619361217674392,7.911814916229248,5.27,0.02250375928758066
66,1.94005724609375,47.232,0.062162341364204426,4.519013909912109,18.73,0.02399468421936035
67,1.9489485543060303,47.23,0.06080625063318121,8.677969831848145,6.71,0.022993392582181135
68,1.9445892207336426,47.545998,0.060634584378098585,6.345546051025391,8.94,0.02231593071659909
69,1.924285327911377,47.817997,0.06119281678553432,12.561312380981445,3.6599998,0.022507051878337618
70,1.9350164544677735,47.584,0.06229977717484964,9.47993860321045,4.24,0.022402455535116075
71,1.9373127394104004,47.385998,0.05987791332137554,5.077015570831299,10.559999,0.021037961863264253
72,1.9420384121704102,47.536,0.060927230683738925,7.142761890411377,8.09,0.022759790661968763
73,1.9252089016723632,47.606,0.060819479510607316,6.097354483795166,10.099999,0.02246448359911955
74,1.9306767582702637,47.531998,0.060896375904912536,26.67423746032715,1.48,0.022312348401999173
75,1.9173473014831544,48.39,0.06122619050847905,13.961166064453124,4.06,0.022452626047255116
76,1.9235315097808838,47.865997,0.06146732681547589,6.965878213500977,8.09,0.022122588338731212
77,1.9212602044677733,47.949997,0.062321408630332066,7.218424252319336,4.6099997,0.022008705742751496
78,1.9320558572387696,47.538,0.061377675332071835,8.650893061828613,4.75,0.022880997838853282
79,1.9207785651397704,47.992,0.06193466320671999,9.571248027801513,6.02,0.022542802593376064
80,1.5256639427947998,57.205997,0.06135552679486287,3.9215881233215333,26.06,0.02300728423685967
81,1.400944425315857,60.378,0.06175341508577547,2.9042180671691895,35.87,0.022643710993513276
82,1.3459141242218018,61.705997,0.061005622834500756,2.9174032062530517,32.7,0.022604426251182072
83,1.3197510998153688,62.289997,0.06031992124474567,1.9575669900894166,49.28,0.023346614234055145
84,1.2988444043731688,62.755997,0.06151598981579246,2.2352538326263427,44.559998,0.022732792021353032
85,1.2760884423065186,63.5,0.06191539337567966,3.435390480422974,30.32,0.02226551574996755
86,1.2452211429977418,64.048,0.060504999916876676,3.573402325439453,25.34,0.02225929574121403
87,1.2431522563171387,64.072,0.060820827703646684,3.009601162338257,33.03,0.022820415376107905
88,1.2280603875350953,64.701996,0.06162142631647837,2.846192078781128,35.35,0.022296944751015194
89,1.2163847779464723,64.816,0.06112732118962671,2.889162968826294,35.03,0.022734989093828806
90,1.204922505683899,65.08,0.06122142640526033,3.8599303329467776,27.859999,0.02265441266796257
91,1.1991490225982666,65.313995,0.060269617363619986,4.31256400604248,26.15,0.022779875163790545
92,1.1779948190307616,65.731995,0.060186701357517094,4.218854737854004,26.179998,0.02299473255495482
93,1.179951030960083,65.631996,0.06014480188374629,3.186383082962036,35.19,0.02256516565250445
94,1.1669351222610473,65.962,0.06252398637249647,2.815016499328613,39.629997,0.02251249023630649
95,1.1625034114837647,66.104,0.06102197615386885,3.067581544113159,33.26,0.023194282869749432
96,1.14877971534729,66.563995,0.06112360161588625,2.517657137298584,41.079998,0.02276595936545843
97,1.141156216392517,66.729996,0.06118348614334145,6.164026146697998,18.8,0.023182959496220457
98,1.141554256515503,66.742,0.061602881497434335,5.455280372619629,16.91,0.022343197955360897
99,1.129158196182251,66.992,0.06193575895655795,4.162910549926758,27.849998,0.02206426934350895
100,1.1241549573516845,67.056,0.06111801371854894,3.9562192344665528,24.93,0.022735710385479505
101,1.1124703546142578,67.316,0.06041195203581125,4.29885675201416,25.51,0.022396854207485536
102,1.1165417408370972,67.254,0.060117427650315074,3.0584536743164064,32.19,0.022080554237848597
103,1.1067893460083007,67.395996,0.061184143471290996,5.02544002532959,22.67,0.0223621778850314
104,1.1068521335601806,67.698,0.060689992611975316,8.749473248291016,9.08,0.0223582092719742
105,1.1009462711334228,67.706,0.0612815463024637,3.338217406463623,29.9,0.0229451354545883
106,1.090308190460205,68.034,0.060629956862505746,6.113258346557617,16.27,0.02255252946781207
107,1.0897754103851318,68.014,0.06087961404219917,3.029973429107666,38.61,0.02211487444141243
108,1.0801937537002564,68.03,0.06182348270855292,5.116661910247803,24.55,0.022917436648018753
109,1.079208195991516,67.993996,0.060851759313012635,3.109308641052246,34.989998,0.02234912522231476
110,1.0821185286712647,68.054,0.06095008228136146,2.7790459297180177,37.39,0.022056525266623196
111,1.0702859692192077,68.432,0.06148681677210971,4.548411264419555,22.3,0.022187896921664854
112,1.0726248077392577,68.36,0.05983775594960088,3.3070570865631104,28.74,0.022676199297361737
113,1.0751034537506103,68.054,0.0608092019015261,5.216301712799072,19.15,0.02281556551969504
114,1.063759702911377,68.542,0.0602927457950914,5.054755577850342,22.699999,0.0227188943307611
115,1.0590178076934815,68.612,0.06137570578728795,4.621543043518066,17.58,0.02277822434147702
116,1.060916320991516,68.605995,0.06083971216245685,3.6377250644683836,28.01,0.022576389433462407
117,1.0453782979583741,68.888,0.06107059098265665,3.567208605957031,31.349998,0.02285772939271565
118,1.0513596946907044,68.36,0.060560291685411695,3.324434840011597,34.41,0.0217787374424029
119,1.048161265525818,69.006,0.061683946253393615,4.39043889579773,21.84,0.022095034394083144
120,0.9232446963500976,72.798,0.06028568897100971,3.0092924201965334,38.239998,0.02233000948459287
121,0.9047215810966491,73.164,0.06138838404584724,2.3478743614196778,46.289997,0.022689979287642468
122,0.8961920242118836,73.534,0.06112569616273846,2.3909760425567628,44.82,0.02291540858111804
123,0.8978780457305908,73.326,0.061262713673779425,3.548991650772095,33.54,0.022467625292041635
124,0.9001129238128662,73.294,0.06197530107424997,2.032161831665039,51.64,0.02258748947819577
125,0.9068299661254883,72.826,0.06112591445903339,4.67421138381958,27.109999,0.022442102432250977
126,0.9062422524261474,72.841995,0.06063386302469941,6.681791114807129,15.599999,0.023183056070834776
127,0.9097524556732177,72.67,0.061661809301742206,3.80181898727417,31.519999,0.022438873218584666
128,0.9003685310173035,73.077995,0.06031666326400874,3.0665848320007325,40.82,0.022738438618334033
129,0.9069870907974243,72.944,0.06063191848032919,3.312727627182007,31.439999,0.02241642263871205
130,0.9084662495422363,72.83,0.06075065154248796,2.776562230682373,39.969997,0.022877240482764908
131,0.9101963592529296,72.75,0.06012656560639286,2.5586972610473633,45.2,0.02257648299012003
132,0.9084396923446655,72.486,0.06079554191940581,2.08179785861969,50.25,0.022033543526371824
133,0.905257719039917,72.818,0.06214285445640154,3.537532092666626,34.82,0.021796223483508147
134,0.9055278339767456,73.052,0.060873345036031035,3.305331534576416,34.39,0.022249448148510122
135,0.9133674208450318,72.495995,0.060755896751228194,5.383261443328857,21.33,0.022687652443028703
136,0.90607419506073,72.922,0.06157200171819428,2.6890381828308105,41.44,0.02258243138277078
137,0.9077329080963135,72.757996,0.06137534236664052,4.91868617477417,24.599998,0.022558698171301732
138,0.9099262399101258,72.43,0.0601677248240127,4.362606841278076,30.96,0.022779214231273794
139,0.9055819233322143,72.992,0.060937112554564805,6.459699465179443,19.21,0.022490839414958712
140,0.9052705279922485,72.872,0.06067452833170781,2.8766343158721925,37.989998,0.022566215901435177
141,0.9111435338020325,72.706,0.061135414616226236,4.713156107330322,27.71,0.02236683761017232
142,0.9089479933357238,72.784,0.060734226270709804,11.243221614074708,14.599999,0.022212701507761508
143,0.9133679108047486,72.729996,0.06239403788086094,6.488719466400147,17.1,0.022439715228503264
144,0.9116524892997742,72.576,0.061007659453565205,5.743752229309082,20.529999,0.021963695936565157
145,0.9066517406082153,72.81,0.06264848782278387,2.9542488636016846,39.76,0.021987966344326357
146,0.9091232062911987,72.673996,0.060710658807583785,2.5987807861328127,43.629997,0.022218737421156484
147,0.9098208023071289,72.872,0.060339680108267936,3.1138324188232422,35.09,0.02246796632114845
148,0.9104295576286316,72.618,0.061528374167049635,2.79222321472168,40.309998,0.02276290217532387
149,0.9130795964813232,72.754,0.06115437773487452,2.357305881881714,47.559998,0.023016160047506985
150,0.905149807472229,72.614,0.061433754308754224,7.215098182678223,14.07,0.022506143473371674
151,0.9067143761634827,72.802,0.06047997816139475,2.6828297843933107,42.55,0.022790703592421132
152,0.9092943661117554,72.766,0.061061921327010445,4.844223111724854,28.0,0.02286389809620531
153,0.9072067786026001,72.612,0.06099841295910613,3.4923981887817384,34.219997,0.021958776667148253
154,0.902502654132843,72.591995,0.060771090295308694,3.851598850250244,32.35,0.023048370699339276
155,0.9071842785453796,72.75,0.06069101214103991,4.4816071319580075,25.97,0.022436516194403927
156,0.9063926107025146,72.638,0.061024504244479985,3.7723224712371826,30.33,0.022941378098499925
