epoch,train_loss,train_top1_acc,train_time,test_loss,test_top1_acc,test_time
0,1.8184031965255738,33.396,0.04735095177769966,1.4567923149108886,46.35,0.020160825946662998
1,1.363147868118286,50.446,0.03041894173683108,1.3417530433654785,52.51,0.012225193313405484
2,1.1423354894638063,58.991997,0.030016373490433557,1.1376538190841674,60.53,0.01290806033943273
3,0.9566260999298096,66.048,0.029972994723893188,0.9783891725540161,66.189995,0.0125607478467724
4,0.850269508934021,70.327995,0.03015004338510811,0.8175070889472962,71.09,0.012838270090803315
5,0.7751606234931946,72.798,0.030248127325111642,0.8340680948257446,71.1,0.012660071819643431
6,0.7299900009536743,74.404,0.030472038956859227,0.7892947305679321,72.61,0.012899232816092576
7,0.691180470199585,75.972,0.030503291303239515,0.749854300403595,75.24,0.010734111447877523
8,0.6604398980331421,77.128,0.02979251063998093,0.6934309827804566,76.38,0.012825135943255846
9,0.6343995476913452,78.007996,0.02999587802935744,0.6465711073875428,77.77,0.01223633560953261
10,0.6096050864410401,78.731995,0.03014583660818427,0.6265012613296509,78.439995,0.013012786454792265
11,0.5877657349205017,79.729996,0.03038492714962386,0.665057050704956,76.9,0.012572095363954955
12,0.5845505369567872,79.658,0.030120270941263575,0.654159924697876,77.71,0.012961562675765799
13,0.5688231624031067,80.17,0.029903539916133638,0.6111239338874817,79.439995,0.012647556353218948
14,0.5473508167839051,80.892,0.029798535739674288,0.624361328125,78.68,0.012859413895425918
15,0.5371003973388672,81.152,0.029985180901139594,0.6153358150482178,78.81,0.013751072219655484
16,0.5283825233268737,81.548,0.030482658035005144,0.6189170578956604,78.61,0.0127907101112076
17,0.5193333068466186,81.858,0.030116120262828935,0.7366070967197418,76.61,0.013489330871195733
18,0.5063716958427429,82.313995,0.02998471991790225,0.5959988988876342,80.299995,0.012629853019231483
19,0.5042955054283143,82.654,0.029784206234280717,0.6209963619232177,79.59,0.012662365466733522
20,0.4940130916595459,82.829994,0.029877883394051084,0.6026435833454132,79.159996,0.012739184536511385
21,0.48477099924087524,83.006,0.029877154113691483,0.6140927140235901,79.31,0.012853483610515352
22,0.475719258184433,83.404,0.030064000497998483,0.6286384365081787,79.36,0.012893740134903147
23,0.47221069190979004,83.687996,0.030060509586578136,0.5641452454566955,81.439995,0.012868310831770112
24,0.4667512848567963,83.836,0.030068231055803616,0.5110029860019684,82.84,0.011917201778556727
25,0.4598348597431183,83.976,0.029871933295598726,0.6431081872940063,77.71,0.012598116186600698
26,0.45852665807723997,83.857994,0.029765998615938073,0.552010486793518,81.39,0.012676794317704214
27,0.45668972368240357,84.023994,0.030144337802896718,0.5112343843936921,82.759995,0.01250603229184694
28,0.4469596285533905,84.488,0.030568539334075225,0.5631994362354279,80.479996,0.013056652455390253
29,0.44232557317733767,84.628,0.030216513997148673,0.5352858096122741,81.829994,0.012891226176974139
